85,55
116,59
185,60
218,66
242,73
311,65
356,66
386,68
442,66
485,66
516,71
554,72
623,68
643,71
689,69
777,72
829,65
877,72
921,77
961,73
1010,77
1046,74
1099,75
1148,77
1173,74
1244,80
1283,76
1307,75
1367,77
1423,82
1457,79
1536,80
1573,85
1664,82
1730,86
1768,85
1816,85
1909,84
1922,93
1894,317
1837,319
1802,315
1763,310
1721,318
1673,313
1627,310
1580,307
1535,312
1487,314
1434,314
1355,308
1402,312
1304,310
1215,309
1256,313
1178,309
1088,308
1123,318
1003,303
947,302
913,299
865,305
815,302
783,304
723,293
695,302
644,299
600,300
554,302
478,303
416,297
371,293
320,299
289,299
222,296
161,296
105,296
76,300











































