64,106
149,105
195,102
233,100
290,94
356,102
373,104
410,103
463,100
504,101
551,101
610,104
637,104
694,101
756,110
796,103
836,100
873,103
899,103
933,102
991,100
1044,112
1092,98
1138,106
1209,91
1223,104
1213,95
1283,99
1325,107
1380,103
1408,98
1458,105
1502,105
1490,87
1657,97
1685,94
1711,92
1735,106
1807,101
1879,97
1899,101
1919,103
51,332
110,336
165,335
198,341
221,338
264,337
322,338
359,333
407,340
503,338
545,350
554,338
612,332
612,342
644,339
719,336
780,336
794,346
813,334
873,338
898,321
922,341
960,336
1009,341
1041,337
1071,327
1143,336
1174,340
1206,333
1213,334
1226,337
1282,341
1316,335
1363,333
1404,339
1458,331
1465,332
1508,334
1537,340
1554,331
1561,319
1606,343
1642,338
1768,340
1818,335
1860,342
583,344
372,346
332,343
1500,94



















