99,78
172,85
207,92
235,91
306,89
342,87
393,89
422,85
473,91
571,95
602,92
660,91
684,98
735,101
773,101
817,96
863,102
906,96
947,106
991,101
1045,103
1080,103
1123,101
1170,98
1218,91
1269,105
1291,102
1343,104
1380,97
1431,107
1459,97
1449,89
1526,109
1552,107
1609,96
1659,104
1672,104
1756,106
1793,105
1877,113
1938,101
1918,340
1928,335
1877,329
1791,341
1725,338
1682,337
1654,330
1559,327
1494,335
1478,328
1430,334
1347,331
1298,326
1207,332
1153,326
1149,333
1123,332
1071,332
996,330
1014,342
928,321
905,333
865,329
761,329
715,322
680,321
633,325
593,325
461,325
424,317
378,317
334,319
342,320
245,320
202,313
144,316
117,322
























