346,110
406,101
450,107
508,103
551,103
624,100
640,120
637,106
631,102
674,101
702,102
746,98
774,94
793,99
864,95
898,98
942,106
956,100
970,93
984,98
1046,95
1093,94
1143,102
1190,87
1198,97
1271,94
1301,98
1309,102
1322,98
1367,91
1410,90
1438,95
1493,95
1543,94
1587,94
1597,91
1637,88
1718,84
1777,84
1814,86
1869,88
1929,84
28,342
63,349
69,354
126,343
156,349
217,344
278,342
287,347
333,336
372,347
430,340
456,342
516,328
525,327
535,347
581,342
619,343
636,340
710,338
755,338
770,327
798,332
839,335
844,331
922,338
960,339
1031,334
1045,337
1054,335
1077,334
1124,336
1167,334
1212,335
1260,341
1299,328
1322,329
1344,327
1411,331
1437,332
1500,333
1541,332
1580,335
1634,332
1687,326
1716,329
1777,329
1815,332
1875,328
1907,327












