94,65
160,61
203,52
240,51
276,57
324,56
411,61
463,64
504,68
550,51
577,53
621,62
688,61
702,72
764,60
808,61
852,64
890,67
912,63
976,66
1012,74
1061,64
1086,61
1142,69
1189,71
1246,74
1290,65
1339,69
1358,73
1394,64
1445,70
1501,70
1552,73
1578,81
1622,75
1678,72
1725,70
1760,82
1810,71
1858,79
1913,77
1906,311
1863,306
1824,303
1720,301
1665,301
1632,310
1575,304
1556,301
1516,297
1463,305
1436,307
1391,305
1353,306
1276,307
1226,304
1201,308
1171,299
1112,288
1086,291
1041,305
990,296
968,295
898,295
854,286
822,292
789,290
734,296
689,290
638,295
605,292
566,301
501,288
468,287
435,285
382,285
339,291
310,282
245,281
203,287
165,279
67,290








