65,49
113,50
133,56
202,53
285,53
343,52
411,59
461,64
506,67
545,69
579,64
620,67
665,63
696,72
748,70
789,71
837,71
860,74
915,69
977,73
1001,74
1049,75
1071,76
1152,79
1188,76
1237,78
1270,78
1326,85
1352,83
1405,85
1457,88
1498,94
1512,86
1542,87
1553,84
1568,97
1627,88
1648,93
1721,104
1759,96
1801,97
1837,92
1893,99
1945,104
1934,330
1883,332
1840,327
1782,329
1719,324
1692,323
1658,324
1612,317
1570,322
1529,319
1470,314
1418,310
1393,311
1312,317
1346,315
1267,311
1218,315
1178,315
1124,307
1079,305
1034,305
982,301
950,304
910,303
862,304
815,296
773,297
726,302
692,295
634,297
595,298
555,294
509,294
440,285
411,284
366,294
318,286
277,283
242,283
179,279
129,281
108,281


























